Speaker,Time,Date,Duration,Statement,Trimmed Statement,rac,gender,discriminat,bias,automat,cognitive,user,interact,deploy,data,algorithm,program,develop,process,societ,existing,histor,selection,measures
AUSTRIA,15:59:29,2024-03-06,0:04:12,"We would just have a short remark on the overall risk. I think it is a very good question to pose to identify the risks that are there because in the past we have talked a lot about risk mitigation measures without clearly identifying the risks. We very much welcome also a debate about this topic. At the same time when we look at the list, we see that some of them are classic risks but some of them as they are listed here also are more something that comes from the lack or not implementing one of the measures that are listed in other parts of this document of our discussion. So not doing what we see as the proper way forward in addressing the risk surrounding autonomous weapon systems is not a risk per se but this is just something of a side note. What we see I think what might be useful if we have this debate is to do a little bit of a grouping. What we see are like Mexico before us, a set of broader security risks that are also more broadly linked to our work here. There is an overall humanitarian concern as the risk of humans losing control of armed conflict while it is humans who will continue to bear the consequences of armed conflict. This has been mentioned in the past already through a number of Delegations also that there is a risk towards peace and security and a possible arms race. There is the risk of proliferation as to use of autonomous weapon systems by non-state actors seems a very high risk once the Pandora's box is open. There is also as Mexico has mentioned a risk from integrating AI in broader weapon systems but I think we have addressed this in our discussion when we have discussed AI as functions of other weapon systems. Closest to our work are probably those risks that relate to IHL implementation and those are, of course, unintended engagement, unpredictability, incidental loss of life, injuries to civilians and damage to civilian objects resulting from the use of weapon systems as such, loss of control of the system. And in this regard we also want to stress that the risks of unpredictability of a weapon systems caused by self learning and the black box problem would not only violate IHL but could impact the military utilities since no military has use for weapon systems it cannot control. There are specific security risks related to the weapon systems, cyber threats, spoofing, using other AI specific vulnerabilities and then there is this more broader AI risk list that has also already been mentioned that relates to, again, the black box problem, automation bias, discrimination for building bias and risks related to datasets, risks regarding the integrity, quality and veracity of data that is used. This also relates a little bit to the interaction between the military or the state side and the private sector. And then there is also a risk that stems from a lack of adequate training of personnel on all relevant levels and on a more broader scale also the skills degradation. These are just some general risks that we wanted to list under this topic. Many of those risks can be mitigated or even eliminated by human control and others, this is also clear, would mostly be mitigated through legal reviews, through measures on the national level as well. There is many risks but also many different ways on addressing them. In our view, the human control is already a very big aspect of this and does a lot of good work. Thank you.","[...] There are specific security risks related to the weapon systems, cyber threats, spoofing, using other AI specific vulnerabilities and then there is this more broader AI risk list that has also already been mentioned that relates to, again, the black box problem, automation bias, discrimination for building bias and risks related to datasets, risks regarding the integrity, quality and veracity of data that is used. This also relates a little bit to the interaction between the military or the state side and the private sector. [...] ",x,,x,x,x,,,x,,x,,,,,,,,,
SWITZERLAND,11:20:46,2024-08-30,0:03:46,"Thank you, Mr. Chair, and thank you for this good section on other measures to ensure compliance with IHL. With regard to the first paragraph, we strongly support inclusion of testing and evaluation. This also has a connection to legal reviews, and we fully support what our Brazilian colleague just said about testing during actual operation. That is certainly something we would not like to see, but rather in realistic scenarios. Depending on the future instrument, the term should would need in our view to be adapted to must, should not just be a recommendation. With regard to paragraph 2, we think this is an important aspect and crucial for ensuring that means and methods of warfare can be used legally. Legal reviews are an obligation for state parties to additional protocol 1 and more broadly of the principle of pactas and servanda and obligation to respect with IHL. States are required to access if and under what circumstances means and methods of warfare can legally be used. The term should seems to us to weak in our view if we want to state that it is in fact a requirement. Moreover, with regard to possible legal use, the conduct of legal reviews cannot only aim to understand the capabilities and limitations of an autonomous weapon system. A legal review of a weapon must assess whether a potential use of the specific weapon system is compatible with international law. Where this is only the case under certain conditions or limitations, the legal review must define specific conditions or limitations that must be taken into account during use. With regard to paragraph 3, this is really good and we support it because unwanted data bias results in discriminatory outcomes. We also support suggestions to add that unwanted bias must be eliminated or eradicated as much as possible. Data can reflect different social discriminations and can then be reproduced in such weapon systems. This should be avoided. We also support the paragraph, the next paragraph but experience shows that there is often automation bias and we would need to be more specific how and which measures can be implemented. Finally, an additional useful measure that we would propose is in our view to require that states and parties to arm conflict establish clear policies, doctrine, procedures and instructions on the use of these autonomous weapon systems. Thank you, Mr. Chair.","[...] With regard to paragraph 3, this is really good and we support it because unwanted data bias results in discriminatory outcomes. We also support suggestions to add that unwanted bias must be eliminated or eradicated as much as possible. Data can reflect different social discriminations and can then be reproduced in such weapon systems. This should be avoided. We also support the paragraph, the next paragraph but experience shows that there is often automation bias and we would need to be more specific how and which measures can be implemented. [...]",,,x,x,x,,,,,x,,,,,,,,,
UNITED KINGDOM,12:00:36,2024-08-30,0:03:32,"Thank you, Mr. Chair. The UK welcomes this section and the approach that we are seeing in this room to make the important measures which ensure that throughout development acquisition and adoption of capabilities and follow on from the measures in the previous section that speak of compliance and use. The UK agrees with the structural points made by the ICRC in terms of the overall obligations in respect to the performance of legal reviews and its technical provision including the need for rigorous testing, evaluation, validation and verification. Going through this section as it is currently structured, the UK would suggest that we do the following. The UK would suggest that the term human operator might be unhelpful. If we are addressing the need for the commander to understand the weapons performance, we are referring to a human user. Nevertheless, the need to understand the weapons performance is a requirement that feeds into the manner in which the weapon is fielded and deployed. We would therefore propose the statement would be stronger if it read as the following, and I quote, we can send this to you later. States should ensure that rigorous testing and evaluation is conducted to ensure users and operators have a reliable expectation of how the weapon system will perform in the anticipated circumstances of its use. In regards to the conduct of legal reviews, we believe that we should ensure that the system in its specific design and expectation of performance is reviewed ahead of deployment. Therefore, we would propose to reflect in the text as thus, ahead of any deployment of laws, states should conduct legal reviews to understand the system or any modification to the system's capabilities and limitations, expected circumstances of use and its anticipated effects in different circumstances. We would also be amenable to the suggestions to more closely reflect the nature of Article 36 in this section. Moving to paragraphs 3 and 4, we are not against the exclusion of the phrase unwanted from paragraph 3 as suggested by the high contracting parties. We are aware bias is going to be present in all systems and the risk presented must be suitably mitigated as appropriate to the context of use. However, we do know if the word unwanted is removed, we must then also remove the word possible. All datasets would contain elements of bias so the term possible bias would be a mischaracterization and potentially confusing. We would also potentially favor a more active description of addressing bias which we know will be present rather than simply reviewing its presence. We will review some wording and submit it to you. On the section on automation bias, the UK Delegation is unclear on the necessity to link the concept of automation bias to the term unwanted as automation bias is inherently a negative trait that should be considered unwanted. Automation bias is defined as the propensity for humans to favor suggestions from automated decision making systems and to ignore contradictory information made without automation even if it is correct. Context appropriate human control should be applied at all times and automation bias presents a risk to the maintenance of this. Thank you.","[...] Moving to paragraphs 3 and 4, we are not against the exclusion of the phrase unwanted from paragraph 3 as suggested by the high contracting parties. We are aware bias is going to be present in all systems and the risk presented must be suitably mitigated as appropriate to the context of use. However, we do know if the word unwanted is removed, we must then also remove the word possible. All datasets would contain elements of bias so the term possible bias would be a mischaracterization and potentially confusing. We would also potentially favor a more active description of addressing bias which we know will be present rather than simply reviewing its presence. We will review some wording and submit it to you. On the section on automation bias, the UK Delegation is unclear on the necessity to link the concept of automation bias to the term unwanted as automation bias is inherently a negative trait that should be considered unwanted. Automation bias is defined as the propensity for humans to favor suggestions from automated decision making systems and to ignore contradictory information made without automation even if it is correct. Context appropriate human control should be applied at all times and automation bias presents a risk to the maintenance of this. [...]",x,,,x,x,,,,,x,,,,,,,,,
ENCODE JUSTICE,11:03:30,2024-08-30,0:03:06,"We firstly want to applaud the Delegations of Austria, Belgium, Canada, Costa Rica, Germany, Ireland, Luxembourg, Mexico, Panama and Uruguay for addressing in their working document the serious risks that the result of bias in laws could pose. And the Delegations of Canada, Germany and Ireland for their initiative to discuss this further in the site event organized last Wednesday. We want to dive into bias a little further. I will immediately clarify that I will take the technological definition of bias rather than the diplomatic definition, meaning that in the technological understanding there is no such thing as intended bias. The reference in the working document to bias in gender and ethnicity would be what data scientists call pre-existing bias, referring to bias that already exists in society and is thus replicated and often enlarged in an algorithm. We want to refer to our point made before that the self-learning capabilities of AI are solely based on historical data. Hence, without, again, periodic reassessment of evaluation measures, it is impossible to mitigate the risks of pre-existing bias. Again, it is a point we have made before. A new one we want to bring forward is drawing the attention to other types of bias that we know Mr. Chairman, could you kindly request the speaker to slow down? Thank you. Apologies. That will immediately clarify some aspects brought forward by the Russian Federation, that paragraph 3 and 4 do not completely overlap. The first type of bias we know is technical bias, including decontextualized algorithms and the second one is emergent bias caused by changes in societal knowledge, population or cultural values. Once again, a regular reassessment of evaluation measures is the absolute minimum that should be included in any instrument mitigating bias. We want to stress again that there is no such thing as an unbiased system. However, there are ways to mitigate these biases that will at least minimize the system error as much as possible. In the case of automated weapon systems, this does mean we are speaking of saving innocent human lives. However, we can only save them if the evaluation measures that will be required from a system are not set only throughout the life cycle of an AWS but also throughout the design cycle of the system itself. Hoping that third time is a charm, we want to repeat our call for periodic reassessment of evaluation measures and include not only the life cycle but also the design cycle of a system in mitigating biases. Lastly, it is not just about bias in datasets or automation bias as currently expressed in paragraph 3 and 4 respectively, but also about technical bias and emerging bias. Thank you.","[...] We want to dive into bias a little further. I will immediately clarify that I will take the technological definition of bias rather than the diplomatic definition, meaning that in the technological understanding there is no such thing as intended bias. The reference in the working document to bias in gender and ethnicity would be what data scientists call pre-existing bias, referring to bias that already exists in society and is thus replicated and often enlarged in an algorithm. We want to refer to our point made before that the self - learning capabilities of AI are solely based on historical data. Hence, without, again, periodic reassessment of evaluation measures, it is impossible to mitigate the risks of pre-existing bias. Again, it is a point we have made before. A new one we want to bring forward is drawing the attention to other types of bias that we know Mr. Chairman, could you kindly request the speaker to slow down? Thank you. Apologies. That will immediately clarify some aspects brought forward by the Russian Federation, that paragraph 3 and 4 do not completely overlap. The first type of bias we know is technical bias, including decontextualized algorithms and the second one is emergent bias caused by changes in societal knowledge, population or cultural values. Once again, a regular reassessment of evaluation measures is the absolute minimum that should be included in any instrument mitigating bias. We want to stress again that there is no such thing as an unbiased system. However, there are ways to mitigate these biases that will at least minimize the system error as much as possible. In the case of automated weapon systems, this does mean we are speaking of saving innocent human lives. However, we can only save them if the evaluation measures that will be required from a system are not set only throughout the life cycle of an AWS but also throughout the design cycle of the system itself. Hoping that third time is a charm, we want to repeat our call for periodic reassessment of evaluation measures and include not only the life cycle but also the design cycle of a system in mitigating biases. Lastly, it is not just about bias in datasets or automation bias as currently expressed in paragraph 3 and 4 respectively, but also about technical bias and emerging bias. [...]",,x,,x,x,,,,,x,x,,,,x,,,,x
GCSP,15:58:30,2024-03-04,0:03:06,"Thank you, Mr. Chair. All of us at GCSP are pleased to see you chairing the GGE and we wish you and your team all the very best with your important work. Mr. Chair, the GCSP welcomes the group's new mandate seeing it as a concrete step which moves the discussion forward. We firmly believe that the work of the group should remain grounded in a realistic assessment of technological realities linked to lethal autonomous weapon systems as well as the ways in which these technologies are used at present. We would therefore like to remind the group that a sober assessment of the state of autonomous weapon systems is needed. In 2024, it is high time the group began appreciating the fact that we are already today dangerously close to the full realization of laws. A recent Russian study found that the software, hardware and expertise necessary to develop a minimally functioning laws are widely available. Evidence from the battlefields of Ukraine and Gaza further shows us the reality of an already highly autonomous battlefield where decision making, targeting decisions and even target engagement are already highly algorithmically assisted with varying levels of actual human oversight and involvement. These active war zones are acting as a catalyst for the development and deployment of these weapons. The GCSP urges the group to more directly use evidence from the real world use of these autonomous capabilities in its work. In light of the group's convergence towards the need for some level of control in the use of autonomous weapons to guarantee their compliance with IHL and in view of discussing elements of an instrument, the GCSP encourages states to use the 2024 GGE to further clarify human control requirements for the appropriate use of autonomous weapon systems and consider making these clarifications part of any instrument resulting from the group's work. Specifications are direly needed, less states resort to so-called instances of nominal human control. Mr. Chair, research into automation bias clearly shows that humans have a tendency to increasingly defer to machine suggestions the more autonomous a system is. Increasing autonomous weapon systems might therefore result in increasingly performative or nominal human control measures. Failure to clarify what amounts to meaningful human control which actually ensures potential compliance with IHL will result in a situation where weapon systems are developed with various kinds of human oversight mechanisms, meaningful, effective or appropriate only in name. This would not be a satisfactory level of human involvement. Here human oversight would legitimize these weapon systems in the eyes of IHL without acting as an actual effective fail safe. Regardless of the qualifier it should refer to control in which a human has the necessary contextual understanding and cognitive and physical capacity to critically engage with any systems, suggestions or actions. Our full statement will be available on the website. Thank you, Mr. Chair.","[...] Mr. Chair, research into automation bias clearly shows that humans have a tendency to increasingly defer to machine suggestions the more autonomous a system is. Increasing autonomous weapon systems might therefore result in increasingly performative or nominal human control measures. [...] ",,,,x,x,,,,,,,,,,,,,,
RUSSIAN FEDERATION,11:00:15,2024-08-30,0:02:40,"Thank you, Mr. Chairperson. I hope that our comments will encourage other Delegations to launch the interactive discussion. On this section, we have comments on Paragraph 1 here we would prefer after rigorous testing to add including in real operation environment. To repeat. Including in real operation environment. We believe it is very important to add that. It therefore gives the testing carried out by a state on these weapons systems towards not only virtual regimes, but also and above all, which is the most valuable thing in determining the specific characteristics and particularities of operation of a system through testing in real operational conditions. In real operation environment. We would also have comments on the last two paragraphs, namely 3 and 4. These we believe are interconnected and somewhat duplicate one another. So as we see it, there is scope to combine them. If we take 4 as our basis, then it could read as follows in English. States should implement measures to detect and reduce automation bias. And that would make the wording reasonably broad. It would look quite flexible. And it would make it possible for states, parties to work on resolving this issue on a large scale. I thank you.","[...] We would also have comments on the last two paragraphs, namely 3 and 4. These we believe are interconnected and somewhat duplicate one another. So as we see it, there is scope to combine them. If we take 4 as our basis, then it could read as follows in English. States should implement measures to detect and reduce automation bias. And that would make the wording reasonably broad. It would look quite flexible. And it would make it possible for states, parties to work on resolving this issue on a large scale. [...]",,,,x,x,,,,,,,,,,,,,,
UNITED STATES,12:06:38,2024-08-30,0:10:42,"I recognize the Distinguished Representative of the United States, you have the floor. I think first we just wanted to appreciate the very rich and constructive discussion the group is engaged in. We prepared thoughts reacting to your text but we are also very interested in considering carefully the comments and proposals from other Delegations. As you and others can imagine, some of the issues here can be very technical and we will need to consult more with experts, further experts and capitals on these issues but we are very eager to do that and we are glad that we are at this point in the discussions that we are advancing our work in such a rigorous and methodical way. Mr. Chair, my Delegation wanted to recall our previous suggestion to merge the measures in this section with the prior section, that includes limitations on the types of target, duration of the system, et cetera. We see these measures as fundamentally similar. All of them are supporting compliance with IHL. I also wanted to note as my Delegation mentioned yesterday that we would appreciate clarifying the connection between these measures and particular rules of IHL. So that is a thematic comment. Just being as specific as possible, we do suggest changing the title of the section from measures to ensure compliance to measures to support compliance. For example, in our view, testing and evaluation is an important measure that helps support compliance but it cannot ensure compliance. I think we also listened with interest to our Israeli colleagues' suggestion of advanced compliance and this could be a very good solution. My Delegation also wanted to react to some of the other I think more general elements that people have been discussing. We heard ideas like appropriate control being mentioned by Israeli colleagues or context appropriate human involvement that UK colleagues had mentioned. I think our perspective had generally been that in developing the elements of a potential instrument we need to be as specific and clear as possible. But I think we also appreciate where other Delegations are coming from, that they want to talk in more general terms. And one idea we would offer to the group to start to bridge some of these gaps is to recall guiding principle C which was developed after very lengthy negotiations in this group and after some I think terrific work by the Belgian Delegation in particular in leading our efforts on that guiding principle. And the basic idea in guiding principle C is that human machine interaction which may take various forms and be implemented at various stages of the life cycle of a weapon should ensure that the potential use of laws is in compliance with applicable international law in particular IHL in determining the quality and extent of human machine interaction a range of factors should be considered including the operational context and the characteristics and capabilities of the weapon system as a whole. And I think there is a lot of good language and ideas in guiding principle C and I think our suggestion is thinking about ways to elaborate and build upon guiding principle C rather than starting fresh. My Delegation also wanted to express our support for adding in this section guiding principle E which was also adopted in our 2023 report in accordance with state's obligations under international law in the study development acquisition. I will not repeat the whole thing but do want to register our support for adding that language in to our draft elements of an instrument. Moving to the specific paragraphs you proposed regarding paragraph 1 I think we would concur with the concern that UK colleagues have noted that the reference to operator in paragraph 1 May be overly narrow because there can be a range of individuals who should have this reliable expectation who need to know about the capabilities of the weapon when they are planning or authorizing the use of the weapon system. I think our suggestion was to omit it here but we are open to considering other proposals. We also wanted to react to the proposal from France to replace reliable expectation with appropriate knowledge and here we think this is a very complex issue and we will need to think carefully about this. In our view appropriate is less clear and more subjective than reliable. And I would also note we listened to our Indian colleagues who thought that reliable is itself too subjective. So I think maybe this is an area for further discussion and work and consideration. Reacting also to French colleagues' suggestion to replace expectation with knowledge, I think in our view knowledge is not quite right because it lacks this idea of the future. We know things that happened in the past but testing and evaluation is generating an assessment or an expectation of what may occur in the future. So again really just appreciate the very thoughtful consideration that colleagues are giving and look forward to thinking about this more. Regarding Paragraph 2, we appreciate the inclusion of this paragraph but do recommend some refinements. In our view the purpose of a legal review is not to understand the weapon's capabilities and limitations, rather the legal review is considering those capabilities and limitations in the context of international law. So our suggestion is that it read before using a laws, states should conduct a legal review of the system that includes consideration of the weapon's capabilities and then the text continues as written. And then I would also note we were trying to add the idea that the legal review occurs before the use. Of course it is not before every use that there is an individual legal review but before deploying the system, states need to have conducted a legal review to ensure that it can be used lawfully. With regard to Paragraph 3, again a very rich discussion here. We wanted to agree with a number of colleagues on this aspect. In our view the purpose of the review is to address unintended bias that will result in bad outcomes rather than just to I think detect bias per se. So we wanted to connect this paragraph like other paragraphs to the goals, the objectives and purposes of the CCW and of IHL such as the protection of civilians. Our proposal would be states should implement measures to address possible unintended bias in artificial intelligence capabilities relied upon in connection with the use of the laws that increase the risk of the loss of civilian life, injury to civilians or damage to civilian objects. We appreciate a divergence of views in the room as to whether bias here is inherently problematic or bad or illegal. From our perspective we understand bias in AI capabilities to be a very technical matter. We do not think this is necessarily inherently bad or unlawful. So in our policies I think we refer to the concept of unintended bias which we think is important to include here. Regarding the next paragraph, we did want to agree with what UK colleagues mentioned about automation bias. So I will mention that we do see automation bias as something that as such is an inherently problematic matter and therefore we would delete unwanted. And I think the last general reflection I would note is we appreciate hearing these different perspectives on terminology. Often sometimes it is the UK and the US which are people which are separated by a common language. But I think trying to develop common understandings and definitions, common understandings of the same term is exactly the kind of work that we need to do and are doing. So we just wanted to appreciate, Mr. Chair, your leadership and colleagues willingness to engage in this work. I thank you, Mr. Chair.","[...] With regard to Paragraph 3, again a very rich discussion here. We wanted to agree with a number of colleagues on this aspect. In our view the purpose of the review is to address unintended bias that will result in bad outcomes rather than just to I think detect bias per se. So we wanted to connect this paragraph like other paragraphs to the goals, the objectives and purposes of the CCW and of IHL such as the protection of civilians. Our proposal would be states should implement measures to address possible unintended bias in artificial intelligence capabilities relied upon in connection with the use of the laws that increase the risk of the loss of civilian life, injury to civilians or damage to civilian objects. We appreciate a divergence of views in the room as to whether bias here is inherently problematic or bad or illegal. From our perspective we understand bias in AI capabilities to be a very technical matter. We do not think this is necessarily inherently bad or unlawful. So in our policies I think we refer to the concept of unintended bias which we think is important to include here. Regarding the next paragraph, we did want to agree with what UK colleagues mentioned about automation bias. So I will mention that we do see automation bias as something that as such is an inherently problematic matter and therefore we would delete unwanted. [...]",,,,x,x,,,,,,,,,,,,,,
AUSTRALIA,12:25:03,2024-08-30,0:03:53,"Thank you for the opportunity to discuss other measures to ensure compliance with international law. We are listening closely to the very useful suggestions that have been made this morning. As noted in our intervention yesterday, we see value in delineating clearly what the group understands to be legally binding obligations from those specific practical measures in the context of autonomous weapon systems that can help states give effect to their legally binding obligations. In this respect, if the box is to retain its current title, other measures to ensure compliance with international law, we see value in the drafting suggestions made by the Delegations of Israel and the US Looking more closely at the paragraph on legal reviews, the second paragraph, we are pleased to see this included in the rolling text for those states who conduct legal reviews including pursuant to additional protocol 1 of the Geneva Conventions. This is an important obligation and inclusion in this text. Australia has long advocated for the importance of legal reviews as a mechanism for ensuring that the development of use of autonomous weapon systems in armed conflict is lawful under armed conflict. This is what is expressed in our Working Paper, Working Paper No. 9 which is submitted to you, Mr. Chair, on the legal review of autonomous weapon systems and the outcomes of the recent expert meetings held in Australia. We support Brazil and Canada's suggestions to include a reference to the exchange of best practice in this paragraph. We do see some language in the current drafting that does, however, go beyond what is required by Article 36 of additional protocol 1. We have heard Austria, Brazil, France, Ireland, Sweden, Switzerland and United Kingdom call for language in the paragraph that either more closely aligns with the consensus language from the guiding principles and the 2023 report or to Article 36 of additional protocol 1. There are two suggestions that we might make that flow from this. Firstly, to include an appropriate qualifier, for example, in accordance with the state's obligations under international law, to reflect the fact that some high contracting parties but not all have these obligations pursuant to Article 36 of the first additional protocol. Secondly, ensure language used is clear and that newly drafted text reflects IHL obligations as opposed to being a regulatory measure. We have heard with interest the ICRC's proposal to separate legal reviews from technical reviews and we think this is a neat solution. Finally, on paragraphs 3 and 4, we wonder whether those two paragraphs could be combined so states could implement measures to detect and reduce automation bias. Thank you, Chair.","[...] Finally, on paragraphs 3 and 4, we wonder whether those two paragraphs could be combined so states could implement measures to detect and reduce automation bias. [...]",,,,x,x,,,,,,,,,,,,,,
GERMANY,11:54:55,2024-03-04,0:03:40,"First of all, I would like to join other than congratulating you on taking over the Chairmanship of this important group. You have the full support of my Delegation. Germany welcomes that the GG on laws will now start to work under its new mandate. The mandate to further consider and formulate by consensus a set of elements of an instrument gives us the opportunity to continue the valuable substantive discussions of this group in a more focused way. In our view, the substantive basis for this assignment has been laid in the past years. A report published last week states that, and I quote, it is increasingly clear that the majority of states agree on certain key elements. We think so, too. In the course of the past years and despite the deplorable blockade of the GGE to consent the final report in some of those years, the areas of substantial convergence have been growing. First of all, more and more members of the GGE have the view that prohibitions and regulations are needed to ensure that international law, including international humanitarian law, will be maintained when emerging technologies in the area of lethal autonomous weapons systems are being used or developed. Second, we also see broad agreement on the importance of the role of humans in the context of autonomy. There has even been some movement with regard to the most difficult question of the legal nature of an instrument. A growing number of states would by now accept it if the GGE were to consent a legally binding instrument consented within the GGE in order to prohibit fully autonomous weapons. Germany is one of them. We also see room for intensified discussions how to avoid risks and unintended consequences. This lies in the interest of all of us. We, therefore, welcome your decision to focus the upcoming GGE's discussion on risk mitigation and confidence building measures. We highly welcome the focused approach you have chosen, Mr. Chair, and stand ready to do all we can to support you and your efforts. With regard to the working mode of the group under the new mandate, Germany would see great benefit in starting to work on possible text elements as soon as possible. In our view, the group should aim at consenting written elements of an instrument, preferably before the CCE revcon in 2026. This could finally demonstrate that the GGE is capable not only of very good discussions but that it also is able to deliver. Germany continues to highly value the GGE as a forum for the discussions on laws that includes all relevant stakeholders. We are very happy to be among the cosponsors of the working paper on elements of an instrument based on the two-tier approach that has been introduced by France earlier this morning. We hope it will provide helpful input on how possible elements of an instrument could look like. To conclude, allow me also to inform Delegations and observers about a side event on fixing gender glitches in military AI, mitigating unintended biases and tackling risks which we organized with the support of Canada, Costa Rica, Panama, Mexico. It will take place on Wednesday, 6 March during lunch break. I hope for fruitful discussion this week, discussions that can also have an impact on the national contributions for the report by the UN Secretary General. I thank you, Mr. Chair.","[...] To conclude, allow me also to inform Delegations and observers about a side event on fixing gender glitches in military AI, mitigating unintended biases and tackling risks which we organized with the support of Canada, Costa Rica, Panama, Mexico. It will take place on Wednesday, 6 March during lunch break. [...] ",,x,,x,,,,,,,,,,,,,,,
INTERNATIONAL COMMITTEE FOR ROBOT ARMS CONTROL,17:24:14,2024-03-06,0:02:02,"Once again, thank you, Chair. My apologies for taking the floor again. I want to start by expressing appreciation to the US Delegation for their response. The first thing which we want to emphasize again is the question that consensus language in the UNGG reports is important but must not be inconsistent with existing IHL language or other obligations. In relation first to the aspect of unintended engagement which the Delegation has explained that this refers to the system engaging targets other than those authorized by the operator, does this mean then that the system has autonomy in critical functions? Does this not fall under autonomous open systems that must be prohibited rather than mitigated? In relation to the second point on unintended bias, what again is meant by this? Chair, in terms of rule 88 of customary international humanitarian law, the words that are used is adverse distinction. In terms of international human rights law treaties to which Delegates or States are party, the term that is used is the right to non-discrimination. In our view, the risk here can be properly identified as risk to the right to non-discrimination. The word unintended is not helpful because gender and racial discrimination or any other form of discrimination is not only harmful because it is intended. It is harmful because it is discrimination. And as ICRC, we insist on using language that already exists in binding treaties. Thank you.","[...] In relation to the second point on unintended bias, what again is meant by this? Chair, in terms of rule 88 of customary international humanitarian law, the words that are used is adverse distinction. In terms of international human rights law treaties to which Delegates or States are party, the term that is used is the right to non-discrimination. In our view, the risk here can be properly identified as risk to the right to non-discrimination. The word unintended is not helpful because gender and racial discrimination or any other form of discrimination is not only harmful because it is intended. It is harmful because it is discrimination. And as ICRC, we insist on using language that already exists in binding treaties. [...] ",x,x,x,x,,,,,,,,,,,,,,,
